Fund name,category,aum_rs_cr,1_w_pr
Quant Small Cap Fund,Equity-Diversified,700.52,2.46
ICICI Prudential Commodities Fund,Equity-Sector,533.37,1.85
Quant Infrastructure Fund,Equity-Sector,42.67,2.3
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.16,3.95
Sundaram Select Micro Cap - Series XVII,Equity-Diversified,98.53,3.57
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.81,4.12
Kotak Small Cap Fund,Equity-Diversified,4765.5,2.05
Sundaram Select Micro Cap - Series XVI,Equity-Diversified,116.36,3.44
BOI AXA Small Cap Fund,Equity-Diversified,158.22,4.16
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,40.26,4.05
Quant Mid Cap Fund,Balanced,110.32,1.91
BOI AXA Mid & Small Cap Equity & Debt Fund,Balanced,333.09,3.66
Quant Absolute Fund,Balanced,52.52,2.8
IDFC Hybrid Equity Fund,Balanced,545.26,1.97
ICICI Prudential Equity & Debt Fund,Balanced,17129.99,1.52
Kotak Equity Hybrid Fund,Balanced,1760.44,0.9
UTI Hybrid Equity Fund,Balanced,4046.04,2.15
HDFC Hybrid Equity Fund,Balanced,18220.21,1.71
Nippon India Equity Hybrid Fund,Balanced,3964.22,1.36
                            Mahindra Manulife Hybrid Equity Nivesh Y...                        ,Balanced,232.54,1.52
HDFC Multi - Asset Fund,Debt-MIP,905.13,1.05
Aditya Birla Sun Life Regular Savings Fund,Debt-MIP,1210.29,0.55
IDBI Equity Savings Fund,Debt-MIP,11.26,0.43
HDFC Hybrid Debt Fund,Debt-MIP,2525.39,0.68
SBI Multi Asset Allocation Fund,Debt-MIP,393.27,0.69
SBI Debt Hybrid Fund,Debt-MIP,1845.46,0.56
UTI Dual Advantage FTF - Series III - I,Debt-Marginal Equity,32.0,1.17
Kotak Debt Hybrid Fund,Debt-MIP,678.23,0.55
UTI Dual Advantage FTF - Series IV - IV,Debt-Marginal Equity,29.42,0.93
UTI Regular Savings Fund,Debt-MIP,1636.92,0.35
Nippon India Ultra Short Duration Fund,Liquid,1238.04,0.13
Quant Liquid Fund,Liquid,268.85,0.06
Tata Money Market Fund,Liquid,3864.31,0.12
Aditya Birla Sun Life Money Manager Fund,Liquid,13621.81,0.09
Nippon India Money Market Fund,Liquid,7318.39,0.09
UTI Money Market Fund,Liquid,6635.55,0.09
HDFC Money Market Fund,Liquid,13853.92,0.09
Axis Money Market Fund,Liquid,2306.68,0.09
ICICI Prudential Money Market Fund,Liquid,11429.87,0.08
Kotak Money Market Fund,Liquid,9730.07,0.1
Edelweiss Government Securities Fund,Gilt-Long Term,98.29,-0.23
Axis Gilt Fund,Gilt-Long Term,152.86,0.07
                            ICICI Prudential Constant Maturity Gilt ...                        ,Gilt-Long Term,324.98,0.09
DSP Government Securities Fund,Gilt-Long Term,461.95,0.14
SBI Magnum Gilt Fund,Gilt-Long Term,3711.19,0.06
                            Aditya Birla Sun Life Government Securit...                        ,Gilt-Long Term,880.65,0.08
PGIM India Gilt Fund,Gilt-Long Term,132.01,0.12
LIC MF G Sec Fund,Gilt-Long Term,48.03,0.15
Kotak Gilt Fund,Gilt-Long Term,864.72,0.06
ICICI Prudential Gilt Fund,Gilt-Long Term,3739.01,-0.07
Quant Multi Asset Fund,Dynamic/Asset Allocation,74.36,2.17
HDFC Balanced Advantage Fund,Dynamic/Asset Allocation,41796.27,1.24
ICICI Prudential Multi-Asset Fund,Dynamic/Asset Allocation,11676.83,1.16
Edelweiss Aggressive Hybrid Fund,Dynamic/Asset Allocation,56.65,1.23
Axis Triple Advantage Fund,Dynamic/Asset Allocation,1020.42,1.44
Tata Multi Asset Opportunities Fund,Dynamic/Asset Allocation,792.59,1.16
Edelweiss Balanced Advantage Fund,Dynamic/Asset Allocation,4308.73,1.11
                            Nippon India Capital Protection Oriented...                        ,Dynamic/Asset Allocation,36.26,1.33
Navi 3 in 1 Fund,Dynamic/Asset Allocation,17.62,1.58
