Fund name,category,aum_rs_cr,1_w_pr
ICICI Prudential Commodities Fund,Equity-Sector,533.37,3.75
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.16,2.66
Nippon India Ultra Short Duration Fund,Liquid,1238.04,2.48
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.81,2.4
Quant Small Cap Fund,Equity-Diversified,700.52,2.13
Sundaram Select Micro Cap - Series XVI,Equity-Diversified,116.36,2.09
Sundaram Select Micro Cap - Series XVII,Equity-Diversified,98.53,2.0
ICICI Prudential Midcap Select ETF,ETF-Others,28.38,1.67
Quant Tax Plan,Equity-Tax Planning,257.55,1.43
Motilal Oswal Midcap 100 ETF,ETF-Others,69.63,1.36
                            UTI S&P BSE Sensex Next 50 Exchange Trad...                        ,ETF-Others,7.86,1.31
SBI ETF Sensex Next 50,ETF-Others,5.74,1.31
Nippon India Junior BeES FoF,Fund of Funds-Domestic,76.27,1.08
Quant Mid Cap Fund,Balanced,110.32,1.06
ICICI Prudential Midcap 150 ETF,ETF-Others,74.69,1.05
Nippon India ETF Nifty Midcap 150,ETF-Others,402.67,1.05
Kotak Small Cap Fund,Equity-Diversified,4765.5,0.97
HDFC Retirement Savings Fund - Equity Plan,Speciality-Pension Plan,1668.76,0.78
BOI AXA Mid & Small Cap Equity & Debt Fund,Balanced,333.09,0.77
UTI CCF - Investment Plan,Speciality-Child Care,504.4,0.72
                            Axis Retirement Savings Fund - Aggressiv...                        ,Speciality-Pension Plan,611.06,0.7
                            ICICI Prudential Thematic Advantage Fund...                        ,Fund of Funds-Domestic,48.71,0.67
Axis Triple Advantage Fund,Dynamic/Asset Allocation,1020.42,0.59
HDFC Childrens Gift Fund,Balanced,4835.85,0.56
SBI Multi Asset Allocation Fund,Debt-MIP,393.27,0.54
DSP World Mining Fund,Fund of Funds-Overseas,153.1,0.52
Quant Multi Asset Fund,Dynamic/Asset Allocation,74.36,0.51
Quantum Equity FoF,Fund of Funds-Domestic,69.02,0.45
