Fund name,category,aum_rs_cr,6_m_pr
Quant Small Cap Fund,Equity-Diversified,700.52,61.51
ICICI Prudential Commodities Fund,Equity-Sector,533.37,48.85
Quant Infrastructure Fund,Equity-Sector,42.67,39.78
ICICI Prudential Technology Fund,Equity-Sector,3494.21,24.74
Kotak Small Cap Fund,Equity-Diversified,4765.5,38.3
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.16,46.39
Sundaram Select Micro Cap - Series XVII,Equity-Diversified,98.53,43.36
Quant Tax Plan,Equity-Tax Planning,257.55,36.78
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.81,47.66
Sundaram Select Micro Cap - Series XVI,Equity-Diversified,116.36,41.88
Quant Mid Cap Fund,Balanced,110.32,30.01
Quant Absolute Fund,Balanced,52.52,25.2
BOI AXA Mid & Small Cap Equity & Debt Fund,Balanced,333.09,29.26
Kotak Equity Hybrid Fund,Balanced,1760.44,14.28
IDFC Hybrid Equity Fund,Balanced,545.26,14.48
ICICI Prudential Equity & Debt Fund,Balanced,17129.99,17.87
UTI Hybrid Equity Fund,Balanced,4046.04,15.53
                            Aditya Birla Sun Life Equity Hybrid 95 F...                        ,Balanced,7875.59,11.96
HDFC Childrens Gift Fund,Balanced,4835.85,16.08
Franklin India Equity Hybrid Fund,Balanced,1417.23,12.23
Baroda Treasury Advantage Fund,Debt-Ultra Short Term,32.13,2.41
HDFC Multi - Asset Fund,Debt-MIP,905.13,8.17
Aditya Birla Sun Life Regular Savings Fund,Debt-MIP,1210.29,5.5
IDBI Equity Savings Fund,Debt-MIP,11.26,4.66
HDFC Hybrid Debt Fund,Debt-MIP,2525.39,7.16
SBI Multi Asset Allocation Fund,Debt-MIP,393.27,5.58
SBI Debt Hybrid Fund,Debt-MIP,1845.46,5.39
Kotak Debt Hybrid Fund,Debt-MIP,678.23,5.38
UTI Regular Savings Fund,Debt-MIP,1636.92,3.44
UTI Dual Advantage FTF - Series III - I,Debt-Marginal Equity,32.0,6.15
Nippon India Ultra Short Duration Fund,Liquid,1238.04,5.71
Quant Liquid Fund,Liquid,268.85,2.01
Tata Money Market Fund,Liquid,3864.31,2.03
Aditya Birla Sun Life Money Manager Fund,Liquid,13621.81,1.92
Nippon India Money Market Fund,Liquid,7318.39,1.91
UTI Money Market Fund,Liquid,6635.55,1.87
HDFC Money Market Fund,Liquid,13853.92,1.92
Axis Money Market Fund,Liquid,2306.68,1.88
ICICI Prudential Money Market Fund,Liquid,11429.87,1.85
Kotak Money Market Fund,Liquid,9730.07,1.8
Edelweiss Government Securities Fund,Gilt-Long Term,98.29,1.75
Axis Gilt Fund,Gilt-Long Term,152.86,0.14
                            ICICI Prudential Constant Maturity Gilt ...                        ,Gilt-Long Term,324.98,0.25
DSP Government Securities Fund,Gilt-Long Term,461.95,0.55
SBI Magnum Gilt Fund,Gilt-Long Term,3711.19,0.84
                            Aditya Birla Sun Life Government Securit...                        ,Gilt-Long Term,880.65,0.72
ICICI Prudential Gilt Fund,Gilt-Long Term,3739.01,0.57
PGIM India Gilt Fund,Gilt-Long Term,132.01,0.84
LIC MF G Sec Fund,Gilt-Long Term,48.03,0.6
Kotak Gilt Fund,Gilt-Long Term,864.72,-0.5
Quant Multi Asset Fund,Dynamic/Asset Allocation,74.36,37.56
HDFC Balanced Advantage Fund,Dynamic/Asset Allocation,41796.27,15.14
ICICI Prudential Multi-Asset Fund,Dynamic/Asset Allocation,11676.83,15.35
Edelweiss Aggressive Hybrid Fund,Dynamic/Asset Allocation,56.65,11.98
Tata Multi Asset Opportunities Fund,Dynamic/Asset Allocation,792.59,11.13
Axis Triple Advantage Fund,Dynamic/Asset Allocation,1020.42,8.76
Edelweiss Balanced Advantage Fund,Dynamic/Asset Allocation,4308.73,8.21
                            Nippon India Capital Protection Oriented...                        ,Dynamic/Asset Allocation,36.26,6.9
Baroda Dynamic Equity Fund,Dynamic/Asset Allocation,1248.07,5.01
Nippon India Balanced Advantage Fund,Dynamic/Asset Allocation,3722.21,8.81
Nippon India ETF Nifty IT,ETF-Others,706.66,10.24
Nippon India ETF Nifty Midcap 150,ETF-Others,402.67,23.9
Motilal Oswal Midcap 100 ETF,ETF-Others,69.63,23.34
ICICI Prudential Midcap 150 ETF,ETF-Others,74.69,24.06
ICICI Prudential Midcap Select ETF,ETF-Others,28.38,13.14
Nippon India ETF PSU Bank BeES,ETF-Others,278.74,34.57
Kotak PSU Bank ETF,ETF-Others,137.38,34.77
SBI ETF Sensex Next 50,ETF-Others,5.74,13.33
                            UTI S&P BSE Sensex Next 50 Exchange Trad...                        ,ETF-Others,7.86,13.27
Kotak NV 20 ETF,ETF-Others,23.22,12.9
HDFC Retirement Savings Fund - Equity Plan,Speciality-Pension Plan,1668.76,26.2
UTI CCF - Investment Plan,Speciality-Child Care,504.4,14.06
Tata Young Citizens Fund,Speciality-Child Care,249.93,14.73
                            Nippon India Retirement Fund - Wealth Cr...                        ,Speciality-Pension Plan,2106.56,13.41
                            ICICI Prudential Retirement Fund - Pure ...                        ,Speciality-Pension Plan,101.4,9.51
                            HDFC Retirement Savings Fund - Hybrid - ...                        ,Speciality-Pension Plan,649.89,14.82
LIC MF Unit Linked Insurance scheme,Speciality-ULIP,376.98,11.02
                            Tata Retirement Savings Fund - Progressi...                        ,Speciality-Pension Plan,1088.72,8.67
                            ICICI Prudential Retirement Fund - Hybri...                        ,Speciality-Pension Plan,111.96,7.28
                            Axis Retirement Savings Fund - Aggressiv...                        ,Speciality-Pension Plan,611.06,8.08
                            ICICI Prudential Thematic Advantage Fund...                        ,Fund of Funds-Domestic,48.71,23.35
ICICI Prudential India Equity FOF,Fund of Funds-Domestic,32.58,21.86
                            ICICI Prudential Passive Strategy Fund (...                        ,Fund of Funds-Domestic,81.9,13.94
ICICI Prudential Bharat 22 FOF,Fund of Funds-Domestic,36.6,19.03
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,13.93,17.84
Quantum Equity FoF,Fund of Funds-Domestic,69.02,13.64
PRINCIPAL Global Opportunities Fund,Fund of Funds-Overseas,35.0,15.1
Nippon India Junior BeES FoF,Fund of Funds-Domestic,76.27,13.98
DSP World Mining Fund,Fund of Funds-Overseas,153.1,6.52
HSBC Managed Solutions India - Growth,Fund of Funds-Domestic,42.15,11.58
