Fund name,category,aum_rs_cr,3_m_pr
Quant Small Cap Fund,Equity-Diversified,700.52,36.1
ICICI Prudential Commodities Fund,Equity-Sector,533.37,27.84
Quant Infrastructure Fund,Equity-Sector,42.67,20.09
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.81,40.98
Sundaram Select Micro Cap - Series XVII,Equity-Diversified,98.53,34.74
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.16,38.83
Kotak Small Cap Fund,Equity-Diversified,4765.5,23.23
Sundaram Select Micro Cap - Series XVI,Equity-Diversified,116.36,33.66
BOI AXA Small Cap Fund,Equity-Diversified,158.22,27.86
                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,40.26,37.54
Quant Mid Cap Fund,Balanced,110.32,21.62
BOI AXA Mid & Small Cap Equity & Debt Fund,Balanced,333.09,24.54
Quant Absolute Fund,Balanced,52.52,16.93
IDFC Hybrid Equity Fund,Balanced,545.26,12.83
ICICI Prudential Equity & Debt Fund,Balanced,17129.99,11.31
Kotak Equity Hybrid Fund,Balanced,1760.44,8.73
UTI Hybrid Equity Fund,Balanced,4046.04,12.58
                            Mahindra Manulife Hybrid Equity Nivesh Y...                        ,Balanced,232.54,11.69
                            Aditya Birla Sun Life Equity Hybrid 95 F...                        ,Balanced,7875.59,10.51
HDFC Childrens Gift Fund,Balanced,4835.85,13.92
HDFC Multi - Asset Fund,Debt-MIP,905.13,8.4
Aditya Birla Sun Life Regular Savings Fund,Debt-MIP,1210.29,4.04
HDFC Hybrid Debt Fund,Debt-MIP,2525.39,6.28
SBI Multi Asset Allocation Fund,Debt-MIP,393.27,7.92
SBI Debt Hybrid Fund,Debt-MIP,1845.46,4.77
IDBI Equity Savings Fund,Debt-MIP,11.26,4.47
Kotak Debt Hybrid Fund,Debt-MIP,678.23,4.97
Nippon India Strategic Debt Fund,Debt-Income,251.72,14.98
UTI Dual Advantage FTF - Series IV - IV,Debt-Marginal Equity,29.42,5.4
UTI Regular Savings Fund,Debt-MIP,1636.92,4.09
Nippon India Ultra Short Duration Fund,Liquid,1238.04,4.61
Quant Liquid Fund,Liquid,268.85,0.96
Tata Money Market Fund,Liquid,3864.31,1.02
Aditya Birla Sun Life Money Manager Fund,Liquid,13621.81,1.0
Nippon India Money Market Fund,Liquid,7318.39,0.96
UTI Money Market Fund,Liquid,6635.55,0.95
Axis Money Market Fund,Liquid,2306.68,0.96
HDFC Money Market Fund,Liquid,13853.92,0.99
ICICI Prudential Money Market Fund,Liquid,11429.87,0.95
Kotak Money Market Fund,Liquid,9730.07,0.94
Edelweiss Government Securities Fund,Gilt-Long Term,98.29,1.37
Axis Gilt Fund,Gilt-Long Term,152.86,1.09
                            ICICI Prudential Constant Maturity Gilt ...                        ,Gilt-Long Term,324.98,1.74
DSP Government Securities Fund,Gilt-Long Term,461.95,1.42
                            Aditya Birla Sun Life Government Securit...                        ,Gilt-Long Term,880.65,1.4
SBI Magnum Gilt Fund,Gilt-Long Term,3711.19,0.93
PGIM India Gilt Fund,Gilt-Long Term,132.01,1.35
LIC MF G Sec Fund,Gilt-Long Term,48.03,1.31
                            IDFC Government Securities Fund Investme...                        ,Gilt-Long Term,1968.55,1.8
Kotak Gilt Fund,Gilt-Long Term,864.72,1.12
Quant Multi Asset Fund,Dynamic/Asset Allocation,74.36,19.83
HDFC Balanced Advantage Fund,Dynamic/Asset Allocation,41796.27,13.25
ICICI Prudential Multi-Asset Fund,Dynamic/Asset Allocation,11676.83,9.92
Edelweiss Aggressive Hybrid Fund,Dynamic/Asset Allocation,56.65,11.32
Tata Multi Asset Opportunities Fund,Dynamic/Asset Allocation,792.59,8.82
Axis Triple Advantage Fund,Dynamic/Asset Allocation,1020.42,10.64
Edelweiss Balanced Advantage Fund,Dynamic/Asset Allocation,4308.73,7.36
Nippon India Balanced Advantage Fund,Dynamic/Asset Allocation,3722.21,8.38
                            Nippon India Capital Protection Oriented...                        ,Dynamic/Asset Allocation,36.26,7.55
Baroda Dynamic Equity Fund,Dynamic/Asset Allocation,1248.07,5.86
Nippon India ETF Nifty Midcap 150,ETF-Others,402.67,16.64
Motilal Oswal Midcap 100 ETF,ETF-Others,69.63,16.95
ICICI Prudential Midcap 150 ETF,ETF-Others,74.69,16.76
Nippon India ETF Nifty IT,ETF-Others,706.66,13.69
ICICI Prudential Midcap Select ETF,ETF-Others,28.38,13.41
Nippon India ETF PSU Bank BeES,ETF-Others,278.74,22.83
Kotak PSU Bank ETF,ETF-Others,137.38,22.84
SBI ETF Sensex Next 50,ETF-Others,5.74,13.25
                            UTI S&P BSE Sensex Next 50 Exchange Trad...                        ,ETF-Others,7.86,13.23
Nippon India ETF Sensex Next 50,ETF-Others,17.04,13.18
HDFC Retirement Savings Fund - Equity Plan,Speciality-Pension Plan,1668.76,21.63
UTI CCF - Investment Plan,Speciality-Child Care,504.4,14.46
Tata Young Citizens Fund,Speciality-Child Care,249.93,12.66
                            ICICI Prudential Retirement Fund - Pure ...                        ,Speciality-Pension Plan,101.4,12.97
                            Nippon India Retirement Fund - Wealth Cr...                        ,Speciality-Pension Plan,2106.56,12.72
                            HDFC Retirement Savings Fund - Hybrid - ...                        ,Speciality-Pension Plan,649.89,12.75
LIC MF Unit Linked Insurance scheme,Speciality-ULIP,376.98,10.43
                            Tata Retirement Savings Fund - Progressi...                        ,Speciality-Pension Plan,1088.72,10.97
Axis Childrens Gift Fund,Speciality-Child Care,622.22,10.88
                            Axis Retirement Savings Fund - Aggressiv...                        ,Speciality-Pension Plan,611.06,10.26
                            ICICI Prudential Thematic Advantage Fund...                        ,Fund of Funds-Domestic,48.71,17.04
ICICI Prudential India Equity FOF,Fund of Funds-Domestic,32.58,16.7
                            ICICI Prudential Passive Strategy Fund (...                        ,Fund of Funds-Domestic,81.9,11.53
ICICI Prudential Bharat 22 FOF,Fund of Funds-Domestic,36.6,17.19
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,13.93,12.72
Quantum Equity FoF,Fund of Funds-Domestic,69.02,13.11
Nippon India Junior BeES FoF,Fund of Funds-Domestic,76.27,13.13
PRINCIPAL Global Opportunities Fund,Fund of Funds-Overseas,35.0,0.14
                            Franklin India Life Stage Fund of Funds ...                        ,Fund of Funds-Domestic,6.04,11.34
HSBC Managed Solutions India - Growth,Fund of Funds-Domestic,42.15,11.81
