,Fund name,category,aum_rs_cr,1_w_pr,1_m_pr,3_m_pr,6_m_pr,1_y_pr,3_y_pr,5_y_pr
0,Quant Small Cap Fund,Equity-Diversified,700.52,0.16,9.79,36.1,65.19,171.05,33.67,21.37
1,ICICI Prudential Commodities Fund,Equity-Sector,533.37,-0.9,4.74,27.84,50.29,137.68,--,--
2,Quant Infrastructure Fund,Equity-Sector,42.67,-0.93,1.5,20.09,40.2,130.74,27.88,20.74
3,                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.81,0.47,12.85,40.98,54.54,118.96,14.56,--
4,Sundaram Select Micro Cap - Series XVII,Equity-Diversified,98.53,0.37,11.64,34.74,49.77,118.23,15.09,--
5,                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,42.16,-0.53,11.99,38.83,51.57,118.19,14.98,--
6,Kotak Small Cap Fund,Equity-Diversified,4765.5,-0.02,5.2,23.23,41.23,116.84,26.35,19.87
7,Sundaram Select Micro Cap - Series XVI,Equity-Diversified,116.36,0.51,11.63,33.66,47.96,116.03,15.21,--
8,BOI AXA Small Cap Fund,Equity-Diversified,158.22,0.55,8.8,27.86,43.99,113.27,--,--
9,                            Sundaram Long Term Micro Cap Tax Advanta...                        ,Equity-Tax Planning,40.26,-0.41,12.37,37.54,49.2,112.06,14.24,--
10,Quant Mid Cap Fund,Balanced,110.32,-1.22,3.78,21.62,33.39,88.32,23.47,18.57
11,BOI AXA Mid & Small Cap Equity & Debt Fund,Balanced,333.09,0.93,7.97,24.54,35.27,82.25,17.19,--
12,Quant Absolute Fund,Balanced,52.52,0.51,3.73,16.93,27.79,80.34,25.70,18.25
13,IDFC Hybrid Equity Fund,Balanced,545.26,-0.38,2.53,12.83,14.63,47.55,11.46,--
14,ICICI Prudential Equity & Debt Fund,Balanced,17129.99,-1.5,0.46,11.31,17.52,46.72,14.81,13.36
15,Kotak Equity Hybrid Fund,Balanced,1760.44,-1.0,0.6,8.73,14.28,46.44,14.74,12.43
16,UTI Hybrid Equity Fund,Balanced,4046.04,-0.66,2.03,12.58,15.54,44.46,11.65,10.91
17,                            Mahindra Manulife Hybrid Equity Nivesh Y...                        ,Balanced,232.54,-0.87,1.7,11.69,15.81,43.62,--,--
18,                            Aditya Birla Sun Life Equity Hybrid 95 F...                        ,Balanced,7875.59,-0.76,1.84,10.51,12.18,43.42,10.53,10.17
19,HDFC Childrens Gift Fund,Balanced,4835.85,-0.97,2.23,13.92,15.33,42.99,14.61,14.06
20,HDFC Multi - Asset Fund,Debt-MIP,905.13,-0.49,1.65,8.4,8.23,29.94,12.70,10.54
21,Aditya Birla Sun Life Regular Savings Fund,Debt-MIP,1210.29,0.02,0.78,4.04,5.76,21.77,7.46,7.92
22,HDFC Hybrid Debt Fund,Debt-MIP,2525.39,0.13,1.24,6.28,7.88,19.71,10.22,8.40
23,SBI Multi Asset Allocation Fund,Debt-MIP,393.27,-0.05,1.31,7.92,7.36,18.96,11.59,9.42
24,SBI Debt Hybrid Fund,Debt-MIP,1845.46,-0.05,1.22,4.77,6.21,18.86,10.04,8.33
25,IDBI Equity Savings Fund,Debt-MIP,11.26,-0.51,0.76,4.47,4.44,18.8,7.79,6.00
26,Kotak Debt Hybrid Fund,Debt-MIP,678.23,0.44,0.87,4.97,5.95,18.46,11.28,9.32
27,Nippon India Strategic Debt Fund,Debt-Income,251.72,0.29,13.99,14.98,15.44,17.95,-4.33,0.10
28,UTI Dual Advantage FTF - Series IV - IV,Debt-Marginal Equity,29.42,-0.22,1.02,5.4,7.91,17.78,11.30,--
29,UTI Regular Savings Fund,Debt-MIP,1636.92,-0.02,0.84,4.09,4.2,17.47,6.14,7.16
30,Nippon India Ultra Short Duration Fund,Liquid,1238.04,0.11,2.78,4.61,5.88,9.52,5.08,5.50
31,Quant Liquid Fund,Liquid,268.85,0.06,0.28,0.96,2.01,4.3,5.89,6.28
32,Tata Money Market Fund,Liquid,3864.31,0.08,0.36,1.02,2.11,4.2,4.10,5.24
33,Aditya Birla Sun Life Money Manager Fund,Liquid,13621.81,0.07,0.34,1.0,2.04,4.11,6.85,6.92
34,Nippon India Money Market Fund,Liquid,7318.39,0.06,0.34,0.96,1.98,4.0,6.63,6.75
35,UTI Money Market Fund,Liquid,6635.55,0.06,0.34,0.95,1.96,3.98,6.59,6.73
36,Axis Money Market Fund,Liquid,2306.68,0.07,0.34,0.96,1.97,3.98,--,--
37,HDFC Money Market Fund,Liquid,13853.92,0.07,0.33,0.99,1.99,3.97,6.74,6.72
38,ICICI Prudential Money Market Fund,Liquid,11429.87,0.06,0.32,0.95,1.93,3.9,6.57,6.71
39,Kotak Money Market Fund,Liquid,9730.07,0.07,0.34,0.94,1.92,3.84,6.45,6.64
40,Edelweiss Government Securities Fund,Gilt-Long Term,98.29,0.22,0.47,1.37,2.56,6.23,10.42,8.45
41,Axis Gilt Fund,Gilt-Long Term,152.86,0.26,0.23,1.09,0.75,3.93,10.24,7.64
42,                            ICICI Prudential Constant Maturity Gilt ...                        ,Gilt-Long Term,324.98,0.21,0.2,1.74,0.99,3.63,11.33,9.23
43,DSP Government Securities Fund,Gilt-Long Term,461.95,0.28,0.29,1.42,1.18,3.62,10.66,8.53
44,                            Aditya Birla Sun Life Government Securit...                        ,Gilt-Long Term,880.65,0.36,0.04,1.4,1.35,3.26,9.89,8.53
45,SBI Magnum Gilt Fund,Gilt-Long Term,3711.19,0.09,0.15,0.93,1.35,3.24,10.07,8.67
46,PGIM India Gilt Fund,Gilt-Long Term,132.01,0.2,0.2,1.35,1.36,3.22,8.49,7.26
47,LIC MF G Sec Fund,Gilt-Long Term,48.03,0.2,0.31,1.31,1.36,3.15,9.59,7.63
48,                            IDFC Government Securities Fund Investme...                        ,Gilt-Long Term,1968.55,0.38,0.59,1.8,0.97,2.98,11.24,9.01
49,Kotak Gilt Fund,Gilt-Long Term,864.72,0.24,0.0,1.12,-0.09,2.93,9.45,7.56
50,Quant Multi Asset Fund,Dynamic/Asset Allocation,74.36,-1.06,3.52,19.83,41.95,81.99,27.26,17.36
51,HDFC Balanced Advantage Fund,Dynamic/Asset Allocation,41796.27,-0.79,0.9,13.25,15.28,45.34,13.24,12.86
52,ICICI Prudential Multi-Asset Fund,Dynamic/Asset Allocation,11676.83,-1.63,-0.04,9.92,15.09,39.26,13.80,12.91
53,Edelweiss Aggressive Hybrid Fund,Dynamic/Asset Allocation,56.65,-0.74,2.04,11.32,12.03,38.6,12.36,11.64
54,Tata Multi Asset Opportunities Fund,Dynamic/Asset Allocation,792.59,-0.37,1.5,8.82,11.05,34.97,--,--
55,Axis Triple Advantage Fund,Dynamic/Asset Allocation,1020.42,-0.65,2.17,10.64,9.97,34.64,13.82,11.38
56,Edelweiss Balanced Advantage Fund,Dynamic/Asset Allocation,4308.73,-0.56,1.05,7.36,8.09,29.58,13.20,12.31
